題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
69,對於後小兒麻痺症候群的患者使用下肢支架的臨床效益，下列何者錯誤？,使用踝足矯具（AFO）對於垂足所產生的不良步態有改善的效果,可以改善因下肢肌力較弱而不敢承重所產生的不良步態,能有效改善不對稱的姿態，但對於患者的疼痛改善效果有限,對於股四頭肌無力的患者，使用軸心向後偏移的膝關節支架，有助於維持患者的膝關節穩定,C,能有效改善不對稱的姿態，但對於患者的疼痛改善效果有限,C,,無
70,關於單側前庭功能低下（unilateral vestibular hypofunction）患者的物理治療訓練計畫，下列敘述何者正確？,主要目標之一是改善凝視穩定性，使頭部運動時可清晰視物,由於單側前庭功能損傷無法恢復，復健的主要機制是完全依賴替代策略，如視覺補償,介入時程通常需要至少6個月才能達到功能改善,介入成效有限，因為前庭適應能力僅適用於雙側前庭損傷的患者,A,主要目標之一是改善凝視穩定性，使頭部運動時可清晰視物,A,,無
71,魏小姐因眩暈就診，被診斷為右側後半規管陣發性姿勢性眩暈，患者以長坐姿坐在床上接受耳石復位術（canalith repositioning maneuver），下列操作順序何者正確？①治療師將頭往右轉約45度後，往後仰躺；②治療師將頭往左轉約45度後，往後仰躺；③保持頭右轉45度的姿勢下，將身體往右翻至側躺；④保持頭左轉45度的姿勢下，將身體往左翻至側躺；⑤頭保持後仰30度的姿勢下，將頭往右轉90度；⑥頭保持後仰30度的姿勢下，將頭往左轉90度；⑦患者坐起於床邊,②⑤③⑦,①③⑤⑦,②④⑥⑦,①⑥④⑦,D,①⑥④⑦,D,,無
72,下列何種測試呈現陽性反應時，最可能代表中樞神經系統損傷？,豪派－狄克測試（Hallpike-Dix test）,兩側溫差測驗（caloric test）,視覺誘發眼球震顫（gaze-evoked nystagmus）,旋轉椅檢查（rotary chair test）,C,視覺誘發眼球震顫（gaze-evoked nystagmus）,C,,無
73,蔡先生因急性下肢肌肉無力而就診，雙側徒手肌力測試發現，踝關節肌力為2分、膝關節肌力為3分、髖關節肌力為4分，膝關節深層肌腱反射減弱，且腳掌感覺遲鈍。他可能罹患之疾病為何？,多發性硬化症,肌萎縮性側索硬化症,基蘭－巴瑞氏症候群,小兒麻痺,C,基蘭－巴瑞氏症候群,C,,無
74,一名患者被診斷為重症肌無力，近期出現活動後極易疲勞、上下樓梯困難及咀嚼無力等症狀。擬定運動計畫時，下列敘述何者正確？,安排高強度間歇性阻力運動以增進肌力,進行長時間中等強度的有氧運動以改善心肺功能,採用低強度間歇性阻力運動，且避免在疲勞狀態下訓練,優先採用等長肌力訓練以減少關節負擔,C,採用低強度間歇性阻力運動，且避免在疲勞狀態下訓練,C,,無
75,關於基蘭－巴瑞氏症候群的病理與臨床發病特徵，下列那些正確？①主要為自體免疫攻擊周邊神經的去髓鞘性疾病；②通常僅有感覺異常，肌力下降不明顯；③症狀通常在2至4週內達到高峰；④主要病理現象為神經肌肉接合處傳導異常；⑤發病後肌力常呈對稱性由下而上的進展,①③⑤,②③④,①②,④⑤,A,①③⑤,A,,無
76,關於高齡者自主姿勢反應（automatic postural response）策略，下列敘述何者正確？,當健康高齡者面臨平衡干擾時，會先選擇跨步策略來穩定重心,在分析一般高齡者跨步策略時，側向跨步反應恢復對高齡者來說特別具有挑戰性,通常在跨步策略無法有效恢復平衡時，才會轉換為髖關節策略,姿勢變化策略會在偵測到重心超過支撐底面積時開始啟動,B,在分析一般高齡者跨步策略時，側向跨步反應恢復對高齡者來說特別具有挑戰性,B,,無
77,下列何評估結果顯示有高跌倒風險？個案量表得分甲阮柏氏測試（Romberg's test）32秒乙柏格氏平衡量表（Berg balance scale）32分丙三公尺計時起走測試（timed up-and-go test）25秒丁緹氏表現導向行動評量（Tinetti performance-oriented mobility assessment）25分,甲乙,乙丙,丙丁,甲丁,B,乙丙,B,,無
78,85歲的吳老先生已經失智多年，在日照中心活動接受照顧，最近吳先生變得更不愛參與活動，吃飯和上廁所也需要人家提醒，下列策略何者不適當？,每次吳先生參與活動時，都給他相同的位置,只要吳先生自己吃完飯，都讚美他,儘量維持相同的活動順序，增加他成功的機率,每次都找不一樣的夥伴跟他一起做活動，增加變化,D,每次都找不一樣的夥伴跟他一起做活動，增加變化,D,,無
79,在長照2.0中，評估基本日常生活功能（basic activities of daily living）與工具性日常生活活動能力（instrumental activity of daily living），主要分別使用那種量表以判定失能等級？,以巴氏量表（Barthel index）評估基本日常生活功能，以勞頓量表（Lawton scale）評估工具性日常生活活動能力,以勞頓量表（Lawton scale）評估基本日常生活功能，以巴氏量表（Barthel index）評估工具性日常生活活動能力,以功能獨立量表（functional independence measure）評估基本日常生活功能，以凱茲量表（Katz index）評估工具性日常生活活動能力,以凱茲量表（Katz index）評估基本日常生活功能，以功能獨立量表（functional independence measure）評估工具性日常生活活動能力,A,以巴氏量表（Barthel index）評估基本日常生活功能，以勞頓量表（Lawton scale）評估工具性日常生活活動能力,A,,無
80,為一位患有骨質疏鬆的高齡長者進行訓練，下列那種運動最為適合？,站立時，雙手各持三公斤啞鈴，進行軀幹屈曲運動,背部緊貼牆面站立，將臀部向下滑動，彎曲膝蓋至約120～130度，再站直回到起始姿勢,使用較輕的球桿進行高爾夫球揮桿練習，再逐漸增加球桿的重量,進行高強度阻力負重登階運動，從少量次數開始，逐漸增加登階次數,B,背部緊貼牆面站立，將臀部向下滑動，彎曲膝蓋至約120～130度，再站直回到起始姿勢,B,,無
